ALIS,Authors,Author ID,NGC,NCC,OC,TC,WSC,Institute,hindex,i10,advisees,papers published,GC,CC,SC,(fraction of Dependence)
0.94799,zixiang xong,A81,0.948,0.992,0.936,1728,1625,university of illinois,23,33,12,178,84,13,103,0.059692308
0.947651,Subhamoy Maitra,A12,0.98,0.975,0.92,1234,1141,"ISI,kolkata",17,26,3,95,21,28,93,0.042944785
0.947272,batkai andras,A92,0.991,0.983,0.9,131,118,university of north carolina,5,4,1,14,1,2,13,0.025423729
0.94632,rajarama bhat,A52,0.946,1,0.925,101,94,"isi,delhi",6,3,1,24,5,0,7,0.053191489
0.946159,JORZA ANDREW,A34,1,0.933,0.9375,32,30,PRINCETON UNIVERSITY,4,1,1,7,0,2,2,0.066666667
0.946037,E.K narayan,A9,0.95,0.95,0.97,62,60,IISC,5,,3,14,3,3,2,0.1
0.945012,fabio pietro g,A43,0.99,0.956,0.921,446,411,university of california,11,11,7,22,4,18,35,0.053527981
0.945001,alexandru Dan,A11,0.997,0.95,0.92,725,661,PRINCETON UNIVERSITY,17,15,4,37,2,36,64,0.057488654
0.943316,gullermo B,A83,0.983,0.896,0.983,489,481,Ecole polytechique,9,7,1,17,8,50,8,0.120582121
0.942282,eli john hawkins,A54,1,0.976,",883",48,43,PENS STATE UNIVER,3,2,1,7,0,1,5,0.023255814
0.940939,Mahesh Ramesh Kakde,A7,1,0.98,0.875,24,21,University of Cambridge,2,1,2,5,0,2,3,0.095238095
0.939183,ADAMOWICZ T,A36,1,1,0.85,181,154,Syracuse University,6,5,1,25,0,0,27,0
0.938383,Robin ming chen,A28,1,0.907,0.94,320,302,BROWN UNIVERSITY,11,12,1,35,0,28,18,0.092715232
0.936628,logurnev dmitri,A84,0.989,0.989,0.864,533,461,City of university of newyork,15,20,11,71,5,5,72,0.021691974
0.934648,savits thomas,A68,1,0.973,0.863,44,38,stanford university,5,1,6,12,0,1,6,0.026315789
0.932663,SOURABH VASANT APTE,A32,1,0.97,0.86,578,502,PENS STATE UNIVER,12,16,2,49,0,15,76,0.029880478
0.930398,appleby john A.D,A29,0.966,0.99,0.867,309,268,DUBLIN CITY UNIV,8,5,8,36,9,2,41,0.041044776
0.930171,prasanna karthik,A19,0.982,0.93,0.91,122,111,PRINCETON UNIVERSITY,5,4,5,10,2,8,11,0.09009009
0.927481,pascuci valerio,A98,0.956,0.98,0.878,2111,1855,purdue university,23,20,7,131,81,35,256,0.062533693
0.918324,dennis conniffee,A40,1,0.8214,0.9655,29,28,"trinity colloge,dublin",3,2,1,9,0,5,1,0.178571429
0.91818,masamori hino,A66,0.973,0.964,0.849,133,113,kyoto university,8,6,2,15,3,4,20,0.061946903
0.916835,marcelo dutra fragaso,A99,1,0.994,0.789,451,356,univerity of london,12,12,3,75,0,2,95,0.005617978
0.916409,Andrew John Wiles,A4,0.823,0.978,0.98,46,45,University of Cambridge,2,1,21,4,8,1,1,0.2
0.915591,Akos magyar,A10,0.92,0.988,0.87,95,82,PRINCETON UNIVERSITY,7,,2,20,1,5,13,0.073170732
0.913433,otrok hadi,A49,0.992,0.96,0.82,809,664,Concordia University,15,23,3,94,5,26,145,0.046686747
0.907556,emanuel Derman,A14,0.834,0.92,1,12,12,columbia University,2,2,1,10,2,1,0,0.25
0.904391,fukawa connelly ,A46,0.9818,1,0.7638,72,55,university of maryland,4,3,4,13,1,0,17,0.018181818
0.897113,yuefan dang,A13,0.95,0.993,0.78,342,266,columbia University,10,13,10,61,14,2,76,0.060150376
0.896837,binder benjamin,A73,0.985,0.993,0.745,655,488,university of esat anglia,14,20,6,81,7,3,167,0.020491803
0.894375,klene karen ,A44,0.857,0.857,1,7,7,purdue university,1,1,9,6,1,1,0,0.285714286
0.893579,Fatima khaled abu salem,A37,1,1,0.714,7,5,university of oxford,2,1,1,13,0,0,2,0
0.889594,Ramakrihna,A5,0.91,1,0.79,28,22,PRINCETON UNIVERSITY,3,1,8,9,2,1,6,0.136363636
0.886939,kuwae kazuhiro,A69,0.984,0.93,0.778,167,130,osaka university,8,4,2,21,2,9,37,0.084615385
0.885915,Onn samuel,A24,1,0.991,0.7,312,218,cornell university,11,11,2,39,1,2,94,0.013761468
0.88289,Hur vera,A27,0.94,0.98,0.76,331,252,BROWN UNIVERSITY,12,13,1,32,3,15,79,0.071428571
0.88012,melanie M wood,A18,0.96,0.972,0.74,193,142,PRINCETON UNIVERSITY,9,11,2,35,6,14,51,0.14084507
0.875712,michael  andrew g,A56,0.995,0.776,0.887,257,228,MIT,8,7,2,34,1,51,29,0.228070175
0.849973,teerthankar Bhattacharya,A51,0.802,0.925,0.852,95,81,"ISI,kolkata",5,5,6,17,16,6,16,0.271604938
0.827717,Bruce Michael O,A16,0.98,0.947,0.59,129,76,wesleyan university,7,4,5,35,1,4,53,0.065789474
0.821822,Snehanshu Saha,A8,1,0.93,0.57,81,46,university ofAT,5,2,1,42,1,6,35,0.152173913
0.820439,bennaton jocelyn,A100,0.5,1,1,4,4,university of london,1,0,1,1,2,0,0,0.5
0.787579,Akram Tanver,A50,1,1,0.406,32,13,university of columbia,3,1,1,9,0,0,19,0
0.7858,Manjul Bhargava,A3,0.64,0.894,0.8523,265,226,PRINCETON UNIVERSITY,10,10,10,28,83,24,39,0.473451327
0.742597,daniel delbourgo,A21,0.95,0.89,0.425,40,17,university of cambridge,3,2,5,19,1,2,23,0.176470588
0.735618,Agnes T Paras,A15,0.586,1,0.652,66,29,wesleyan university,5,1,3,26,12,0,23,0.413793103
0.683333,Peter Loth,A17,0.85,1,0.25,27,7,wesleyan university,3,1,1,10,1,0,20,0.142857143
